"Time (s)","Radial Position (mm)","Radial Velocity (mm/s)","Radial Deflection (deg)","Slew Position (deg)","Slew Velocity (deg/s)","Tangential Deflection (deg)"
13.16,548,-0.09,1.85,164,-19.94,3.32
13.2,548,-0.14,1.85,165,-20.06,3.32
13.24,548,-0.1,1.85,166,-20.02,3.32
13.28,548,-0.04,1.85,167,-20.02,3.32
13.32,548,-0.1,1.85,167,-20.1,3.32
13.36,548,-0.01,1.85,168,-20.14,3.32
13.4,548,-0.02,1.85,169,-19.92,3.32
13.44,548,-0.08,1.85,170,-19.94,3.32
13.48,548,0.02,1.85,171,-19.98,3.32
13.52,548,0,1.85,171,-20.1,3.32
13.56,548,-0.07,1.85,172,-19.98,3.32
13.6,548,0.04,1.85,173,-20.05,3.32
13.64,548,0,1.85,174,-19.99,3.32
13.68,548,-0.07,1.85,175,-20.14,3.32
13.72,548,0.02,1.85,176,-19.88,3.32
13.76,548,-0.02,1.85,176,-19.95,3.32
13.8,548,0,1.85,177,-20,3.32
13.84,548,0,1.85,178,-20.03,3.32
13.88,548,-0.04,1.85,179,-19.98,3.32
13.92,548,0.02,1.85,180,-19.99,3.32
13.96,548,0.03,1.85,180,-20.09,3.32
14,548,-0.06,1.85,181,-20.02,3.32
14.04,548,0.02,1.85,182,-19.84,3.32
14.08,548,0,1.85,183,-20.07,3.32
14.12,548,-0.04,1.85,184,-19.98,3.32
14.16,548,0.01,1.85,184,-20.07,3.32
14.2,548,0.02,1.85,185,-19.94,3.32
14.24,548,-0.04,1.85,186,-19.95,3.32
14.28,548,0.02,1.85,187,-20.01,3.32
14.32,548,-0.04,1.85,188,-19.92,3.32
14.36,548,0,1.85,188,-20,3.32
14.4,548,0.05,1.85,189,-20.12,3.32
14.44,548,-0.05,1.85,190,-19.93,3.32
14.48,548,0,1.85,191,-19.86,3.32
14.52,548,0.04,1.85,192,-20,3.32
14.56,548,-0.04,1.85,192,-20.08,3.32
14.6,548,-0.02,1.85,193,-20.15,3.32
14.64,548,0.01,1.85,194,-19.9,3.32
14.68,548,-0.03,1.85,195,-19.98,3.32
14.72,548,0.04,1.85,195,-19.98,3.32
14.76,548,0,1.85,196,-20.01,3.32
14.8,548,-0.01,1.85,197,-19.9,3.32
14.84,548,0.04,1.85,198,-20.02,3.32
14.88,548,0,1.85,199,-20.18,3.32
14.92,548,-0.04,1.85,199,-20,3.32
14.96,548,0.04,1.85,200,-19.9,3.32
15,548,-0.02,1.85,201,-20.05,3.32
15.04,548,-0.02,1.85,202,-20.03,3.32
15.08,548,0.03,1.85,203,-20.01,3.32
15.12,548,-0.01,1.85,203,-19.96,3.32
15.16,548,0.01,1.85,204,-20.08,3.32
15.2,548,0,1.85,205,-20.04,3.32
15.24,548,-0.04,1.85,206,-19.92,3.32
15.28,548,0.04,1.85,207,-19.95,3.32
15.32,548,0.02,1.85,207,-20.1,3.32
15.36,548,-0.07,1.85,208,-19.93,3.32
15.4,548,0.06,1.85,209,-20,3.32
15.44,548,0.03,1.85,210,-19.96,3.32
